filename,width,height,class,xmin,ymin,xmax,ymax
Drunkface568B1_jpg.rf.4352eaf4c1da61a899bfd813b91b55a7.jpg,732,732,Drunk,284,74,524,374
Drunkface95B3_jpg.rf.4415c5885450c368a2253f3cd95a81f3.jpg,1021,745,Drunk,221,119,570,439
Drunkface408B2_jpg.rf.439ba9a1f43384852e9dd165b9efef9e.jpg,890,534,Drunk,167,117,263,276
Drunkface408B2_jpg.rf.439ba9a1f43384852e9dd165b9efef9e.jpg,890,534,Drunk,633,135,748,314
Drunkface408B2_jpg.rf.439ba9a1f43384852e9dd165b9efef9e.jpg,890,534,Drunk,398,155,515,333
drunkface30B1_jpeg.rf.43f9a980cfb761913cafe88e38cd17a5.jpg,549,842,Drunk,79,64,337,339
Drunkface134B2_jpg.rf.429f2cfae076b26611ee7b133a8ddc34.jpg,275,183,Drunk,142,47,238,111
Drunkface512B3_jpg.rf.43d855412902dbe4a0a7493733e018f9.jpg,259,194,Drunk,171,68,253,117
Drunkface246B3_jpg.rf.42d70805bdb33004d4bef081ac47ce0f.jpg,527,612,Drunk,202,70,253,137
Drunkface595B1_jpg.rf.44e15ae9eaa4906b16aa432b08d7d536.jpg,371,190,Drunk,156,28,194,75
Drunkface199B_jpg.rf.453a2cc3303b6c7616a38be1ef8c932a.jpg,400,267,Drunk,133,27,229,142
Drunkface531B2_jpg.rf.43d0acc9f4badc2a8c579cd3bcd229df.jpg,381,702,Drunk,135,126,260,263
Drunkface620B3_jpg.rf.4307dbc43736682af0c08312f61be4a9.jpg,531,448,Drunk,239,144,340,284
Drunkface164B1_jpg.rf.42e7834bab096fc4b8d56a184ffa5ab9.jpg,259,194,Drunk,141,94,168,137
Drunkface164B1_jpg.rf.42e7834bab096fc4b8d56a184ffa5ab9.jpg,259,194,Drunk,76,41,103,81
Drunkface622B2_jpg.rf.4484cc5322092a76c6d1f7f811adef71.jpg,365,337,Drunk,238,70,322,196
Drunkface622B2_jpg.rf.4484cc5322092a76c6d1f7f811adef71.jpg,365,337,Drunk,139,114,217,224
Drunkface572B3_jpg.rf.4407e19ffc88e09e2c58e94bdf1926b8.jpg,748,442,Drunk,60,60,178,249
Drunkface572B3_jpg.rf.4407e19ffc88e09e2c58e94bdf1926b8.jpg,748,442,Drunk,216,140,329,262
Drunkface212B_jpg.rf.43b855f42bbf6ac1e3f39ed0d433a859.jpg,1000,750,Drunk,204,160,417,439
Drunkface524B1_jpg.rf.444bb7b09d3fd096c24b6f240a4e125b.jpg,301,167,Drunk,173,29,197,67
Drunkface524B1_jpg.rf.444bb7b09d3fd096c24b6f240a4e125b.jpg,301,167,Drunk,256,40,294,81
Drunkface318B_jpg.rf.44585d7939768a0aeb6891276421b9ba.jpg,980,653,Drunk,326,219,460,341
Drunkface367B_jpg.rf.44f6a3a69a61e6f5485fcb72e1fca815.jpg,259,194,Drunk,119,63,162,126
Drunkface579B1_jpg.rf.4506544ba1883c4641fbaa399971f992.jpg,487,322,Drunk,251,86,285,139
Drunkface579B1_jpg.rf.4506544ba1883c4641fbaa399971f992.jpg,487,322,Drunk,211,157,239,207
Drunkface278B1_jpg.rf.435e0c70c71c4f3a5503af21b877d8f7.jpg,728,455,Drunk,282,58,401,211
Drunkface237B2_jpg.rf.4522699c2d7f47604f6bb2dc7b167857.jpg,258,195,Drunk,96,67,143,114
Drunkface605B_jpg.rf.461b8ef3a171e821f644e48cefee84b3.jpg,562,322,Drunk,260,97,339,178
Drunkface439B_jpg.rf.42c6deef3f637ef1e65c445708f625ad.jpg,612,459,Drunk,263,80,431,313
Drunkface19B3_jpg.rf.463847dedcb85e354d80f0b02497ee50.jpg,400,400,Drunk,77,79,253,252
Drunkface68B1_jpeg.rf.438a0b4816fd9056b058e70e3408f516.jpg,284,423,Drunk,62,84,219,287
Drunkface229B_jpg.rf.446c729c37f923bdd55a107086f31517.jpg,225,224,Drunk,62,82,92,121
Drunkface229B_jpg.rf.446c729c37f923bdd55a107086f31517.jpg,225,224,Drunk,108,101,138,145
Drunkface15B2_jpg.rf.44bdf9ef9392bac310ce051bc00de116.jpg,550,766,Drunk,226,50,337,208
Drunkface428B3_jpg.rf.46db02fc1a9aa4e9ce7d457b83013980.jpg,220,367,Drunk,60,50,135,167
Drunkface27B2_jpg.rf.4610f13b3f350a75e5b0963687988a11.jpg,640,584,Drunk,257,100,393,252
Drunkface74B3_jpg.rf.4559d58a27ba67055fe534665c5bafdd.jpg,586,700,Drunk,95,112,379,422
Drunkface554B3_jpg.rf.46ac8ff69e4bd0a9bc1ce59913edef04.jpg,345,417,Drunk,82,53,185,206
Drunkface382B_jpg.rf.463200946cb6bc06b9e6abacc062f3ea.jpg,195,259,Drunk,94,65,128,106
Drunkface297B2_jpg.rf.46f2dcf16e73fa902b0ebee8320a2031.jpg,299,168,Drunk,113,77,177,133
Drunkface311B_jpg.rf.457789788d302ed58a3a91d078262abd.jpg,800,449,Drunk,600,19,654,55
Drunkface529B3_jpg.rf.47b53dd9bc19a5ef346ab6e6e3c1c4f4.jpg,188,210,Drunk,56,35,118,109
Drunkface505B3_jpg.rf.46d5ac8171615c035065112bc3080ea3.jpg,1528,800,Drunk,667,67,820,294
Drunkface505B3_jpg.rf.46d5ac8171615c035065112bc3080ea3.jpg,1528,800,Drunk,987,92,1133,317
Drunkface608B2_jpg.rf.473759ff0f062d709856ec98bd343721.jpg,978,891,Drunk,277,92,428,298
Drunkface444B3_jpg.rf.46de6f212802077aad3d2776f1f62083.jpg,732,549,Drunk,254,104,303,149
Drunkface444B3_jpg.rf.46de6f212802077aad3d2776f1f62083.jpg,732,549,Drunk,483,98,520,156
Drunkface468B3_jpg.rf.473ce07e098a772b945506c92e9be844.jpg,275,183,Drunk,111,67,174,133
Drunkface128B_jpg.rf.47b551d137f7fcf6d473039a76152da1.jpg,1280,720,Drunk,346,159,728,647
Drunkface107B1_jpeg.rf.4717ee93b4fdba83fee6e21d5e98b91d.jpg,480,640,Drunk,34,22,448,559
Drunkface466B3_jpg.rf.49316495534d300d7f01c553dc2b6123.jpg,270,186,Drunk,163,27,201,76
Drunkface466B3_jpg.rf.49316495534d300d7f01c553dc2b6123.jpg,270,186,Drunk,67,43,103,100
Drunkface527B_jpg.rf.48b18e6a4a0d3ae9a6f1f9fdfdb54c51.jpg,612,408,Drunk,349,134,412,215
Drunkface527B_jpg.rf.48b18e6a4a0d3ae9a6f1f9fdfdb54c51.jpg,612,408,Drunk,429,155,493,215
Drunkface258B1_jpg.rf.4912cf46e4108659bd70805b11f80ad3.jpg,246,205,Drunk,66,7,107,64
Drunkface435B_jpg.rf.47d506fe67b8747489d7442f508c1927.jpg,641,480,Drunk,458,71,532,152
Drunkface435B_jpg.rf.47d506fe67b8747489d7442f508c1927.jpg,641,480,Drunk,22,87,76,146
Drunkface133B2_jpg.rf.488e33ff22d2efbde7a24b17c330ae41.jpg,640,357,Drunk,131,78,193,170
Drunkface133B2_jpg.rf.488e33ff22d2efbde7a24b17c330ae41.jpg,640,357,Drunk,479,89,547,190
Drunkface220B_jpg.rf.480c4c6654f24fdf3bbd9610a257bbbe.jpg,613,1024,Drunk,327,102,393,195
Drunkface220B_jpg.rf.480c4c6654f24fdf3bbd9610a257bbbe.jpg,613,1024,Drunk,443,166,523,259
Drunkface170B2_jpg.rf.484d4fd68e579c5caf168c97516fbf17.jpg,641,428,Drunk,211,89,251,161
Drunkface170B2_jpg.rf.484d4fd68e579c5caf168c97516fbf17.jpg,641,428,Drunk,386,121,438,199
Drunkface170B2_jpg.rf.484d4fd68e579c5caf168c97516fbf17.jpg,641,428,Drunk,452,180,509,268
Drunkface170B2_jpg.rf.484d4fd68e579c5caf168c97516fbf17.jpg,641,428,Drunk,76,35,141,142
Drunkface479B_jpg.rf.47110ce13373b0f74ce6cd0855065707.jpg,172,232,Drunk,56,40,128,140
Drunkface597B_jpg.rf.495a0bbd1e7d65db900b4fa225aba17c.jpg,601,327,Drunk,315,94,384,197
Drunkface131B2_jpg.rf.48c374db610443c25303c58ef0dd0991.jpg,700,368,Drunk,176,3,382,299
Drunkface559B1_jpg.rf.49a608be1bd1c961eb8277c9f4f626cf.jpg,132,306,Drunk,76,27,101,62
Drunkface173B1_jpg.rf.48b1983a1ac0c0ff78441c492053e4bc.jpg,217,233,Drunk,54,21,115,133
Drunkface72B2_jpg.rf.498fd10cbb472e68598db413e7c5bf1a.jpg,317,316,Drunk,121,72,212,184
Drunkface1B1_jpeg.rf.4876e3e755234ce4179111f1213c71e8.jpg,561,685,Drunk,156,159,387,496
Drunkface130B2_jpg.rf.4905271580d57b8822b045b0b5854c4f.jpg,1280,720,Drunk,137,7,620,561
Drunkface557B_jpg.rf.49b7ba78c64af7ee78047b40b44f7603.jpg,313,432,Drunk,172,77,303,235
Drunkface329B2_jpg.rf.4607cd9aed8f867cbe9c6299acf107b9.jpg,1280,853,Drunk,653,50,748,177
Drunkface329B2_jpg.rf.4607cd9aed8f867cbe9c6299acf107b9.jpg,1280,853,Drunk,877,364,985,462
Drunkface346B2_jpg.rf.49e8b00582c77195cbb55c58a2058486.jpg,299,168,Drunk,174,39,226,123
Drunkface406B_jpg.rf.48dd01e7438cf708c42e14cc70ede136.jpg,194,259,Drunk,95,49,163,160
Drunkface246B1_jpg.rf.4a435db1f5eaeaf4ce9099c00b6d3eff.jpg,527,612,Drunk,257,57,301,131
Drunkface111B1_jpeg.rf.4a5130b3bc828cab8e288882483385f4.jpg,1000,667,Drunk,745,2,939,279
Drunkface111B1_jpeg.rf.4a5130b3bc828cab8e288882483385f4.jpg,1000,667,Drunk,363,192,481,432
Drunkface33B3_jpg.rf.49d4c0ea9f0051c2f4d20c2fa4c1652d.jpg,470,560,Drunk,118,135,392,527
Drunkface75B2_jpg.rf.4aa2a1f80c67dffecf833cc220bc2e5e.jpg,307,170,Drunk,95,3,177,98
Drunkface75B2_jpg.rf.4aa2a1f80c67dffecf833cc220bc2e5e.jpg,307,170,Drunk,189,42,260,131
Drunkface352B1_jpg.rf.4b83f41e81d8837f114e0b8ac700b950.jpg,268,188,Drunk,73,21,106,80
Drunkface401B1_jpg.rf.4a047a419f930fd0d1c0c379cd97180a.jpg,236,177,Drunk,133,79,184,154
Drunkface401B1_jpg.rf.4a047a419f930fd0d1c0c379cd97180a.jpg,236,177,Drunk,36,95,76,157
Drunkface401B1_jpg.rf.4a047a419f930fd0d1c0c379cd97180a.jpg,236,177,Drunk,85,36,134,130
Drunkface565B2_jpg.rf.4a969ca0ff88111c03836810df1101f2.jpg,487,327,Drunk,222,108,267,172
Drunkface100B1_jpeg.rf.4b7a99b2c0e411f098ad65f0486d2130.jpg,600,450,Drunk,145,23,488,423
Drunkface124B2_jpg.rf.4a9f9752c1749ff834994aa0d56da022.jpg,534,712,Drunk,142,109,421,566
Drunkface449B3_jpg.rf.4b98c68f0d9507668eb28b218d443c6a.jpg,276,183,Drunk,87,7,143,100
Drunkface364B3_jpg.rf.4b417827233f78c3f07dc539de4d033b.jpg,366,488,Drunk,244,59,307,155
